"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3418","Adding IsPromo status to event when IsSafe status added shouldn't be successful","","Fri Jun 27 14:20:30 MSK 2025","passed","Fri Jun 27 14:20:34 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testSetDoubleStatus"
"","4236","Adding IsSafe status to the event should update the isSafe parameter to true","","Fri Jun 27 14:32:02 MSK 2025","passed","Fri Jun 27 14:32:06 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testSetEventStatusIsSafe"
"","780","Deleting all sports from Top Sports shouldn't be successful","","Fri Jun 27 14:20:34 MSK 2025","passed","Fri Jun 27 14:20:35 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testDeleteAllSports"
"","3216","Searching events with incorrect dates shouldn't be successful","","Fri Jun 27 14:29:59 MSK 2025","passed","Fri Jun 27 14:30:02 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testSearchEventsWithInvalidDates"
"","4232","Adding IsPromo status to the event should update the isPromo parameter to true","","Fri Jun 27 14:32:45 MSK 2025","passed","Fri Jun 27 14:32:50 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testSetEventStatusIsPromo"
"","4233","Adding a event to language should increase the number of events in the topEvents","","Fri Jun 27 14:28:28 MSK 2025","passed","Fri Jun 27 14:28:32 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testAddEventToLanguage"
"","4140","Deleting the language should reduce the number of languages in the languageTab","","Fri Jun 27 14:25:22 MSK 2025","passed","Fri Jun 27 14:25:26 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testDeleteLanguage"
"","12112","Should return top sports for type upcoming with expected structure and content","","Fri Jun 27 14:48:16 MSK 2025","passed","Fri Jun 27 14:48:28 MSK 2025","","HighlightsManager.FrontEndTests","HighlightsManager.FrontEndTests","testGetTopSportsUpcoming"
"","4045","Adding a language should increase the number of languages in the languageTab","","Fri Jun 27 14:24:20 MSK 2025","passed","Fri Jun 27 14:24:24 MSK 2025","","HighlightsManager.BackOfficeTests","HighlightsManager.BackOfficeTests","testAddLanguage"
